Intervalo de amostragem de x0 = [-10, 10]

(x(1) - 1)^2 + (x(2) - 1)^2 -> [1, 1]

Nº | Tolerancia |   it_media   |   t_medio  | lambda |         xk_media        | erro_medio | erro_melhor| erro_pior
01 | 0.00100000 |  9.10000000 | 0.08464021 | @(k) 1 |(0.99996387, 0.99999103) | 0.00032073 | 0.00015878 | 0.00050799
02 | 0.00010000 | 11.46000000 | 0.10486155 | @(k) 1 |(0.99999407, 0.99999873) | 0.00002791 | 0.00000000 | 0.00004955
03 | 0.00001000 | 13.29000000 | 0.11987210 | @(k) 1 |(0.99999873, 0.99999867) | 0.00000244 | 0.00000000 | 0.00000667
04 | 0.00100000 | 13.31000000 | 0.09987619 | @(k) 2 |(0.99989985, 0.99992980) | 0.00069577 | 0.00049244 | 0.00102416
05 | 0.00010000 | 16.68000000 | 0.12508846 | @(k) 2 |(0.99998375, 0.99999175) | 0.00007064 | 0.00000000 | 0.00011662
06 | 0.00001000 | 19.50000000 | 0.15134664 | @(k) 2 |(1.00000455, 1.00000245) | 0.00001568 | 0.00000000 | 0.00007071
07 | 0.00100000 | 10.53000000 | 0.08662500 | @(k) 1 + 1/k |(0.99996309, 0.99996111) | 0.00032201 | 0.00017647 | 0.00054424
08 | 0.00010000 | 12.71000000 | 0.12825437 | @(k) 1 + 1/k |(0.99999499, 0.99999602) | 0.00003222 | 0.00000000 | 0.00005488
09 | 0.00001000 | 14.78000000 | 0.16544334 | @(k) 1 + 1/k |(0.99999882, 0.99999836) | 0.00000255 | 0.00000000 | 0.00000493
10 | 0.00100000 |  6.08000000 | 0.04329546 | @(k) 1/k |(1.00000192, 0.99998647) | 0.00004899 | 0.00000533 | 0.00008812
11 | 0.00010000 |  7.00000000 | 0.04585703 | @(k) 1/k |(0.99999923, 0.99999944) | 0.00000370 | 0.00000000 | 0.00000943
12 | 0.00001000 |  7.97000000 | 0.05341385 | @(k) 1/k |(0.99999995, 0.99999999) | 0.00000006 | 0.00000000 | 0.00000067
13 | 0.00100000 | 12.03000000 | 0.07753099 | @(k) 2 - 1/k |(1.00003500, 0.99995436) | 0.00067509 | 0.00045194 | 0.00095018
14 | 0.00010000 | 15.29000000 | 0.10129408 | @(k) 2 - 1/k |(0.99998785, 0.99998028) | 0.00005739 | 0.00000000 | 0.00009879
15 | 0.00001000 | 17.78000000 | 0.11538774 | @(k) 2 - 1/k |(0.99999803, 0.99999827) | 0.00000364 | 0.00000000 | 0.00000986
16 | 0.00100000 | 19.66000000 | 0.12503035 | @(k) 4 + (-1)^k |(0.99970193, 0.99956293) | 0.00179161 | 0.00106186 | 0.00247951
17 | 0.00010000 | 25.41000000 | 0.16230602 | @(k) 4 + (-1)^k |(0.99998029, 0.99997611) | 0.00017399 | 0.00006997 | 0.00032608
18 | 0.00001000 | 79.22000000 | 0.61169263 | @(k) 4 + (-1)^k |(1.00003071, 1.00002421) | 0.00006223 | 0.00001010 | 0.00010102

(x(1) - 1)^2 + x(2)^2 -> [1, 0]

Nº | Tolerancia |   it_media   |   t_medio  | lambda |         xk_media        | erro_medio | erro_melhor| erro_pior
01 | 0.00100000 |  9.14000000 | 0.06009105 | @(k) 1 |(0.99996037, 0.00001053) | 0.00029834 | 0.00015838 | 0.00049739
02 | 0.00010000 | 11.36000000 | 0.07200539 | @(k) 1 |(0.99999293, -0.00000092) | 0.00002657 | 0.00000154 | 0.00005095
03 | 0.00001000 | 13.43000000 | 0.10126081 | @(k) 1 |(0.99999940, 0.00000013) | 0.00000235 | 0.00000005 | 0.00000557
04 | 0.00100000 | 13.19000000 | 0.10775949 | @(k) 2 |(0.99993830, 0.00005367) | 0.00069373 | 0.00050455 | 0.00099671
